rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,162,80.0,-0.34,1930,1930 - 1939
102,3,5.0,0.25,1930,1930 - 1939
104,92,144.0,0.22,1930,1930 - 1939
105,244,190.0,-0.12,1930,1930 - 1939
106,198,587.0,0.5,1930,1930 - 1939
107,162,169.0,0.02,1930,1930 - 1939
109,16,29.0,0.29,1930,1930 - 1939
110,6,20.0,0.54,1930,1930 - 1939
111,14,30.0,0.36,1930,1930 - 1939
112,80,111.0,0.16,1930,1930 - 1939
113,94,93.0,-0.01,1930,1930 - 1939
115,2,4.0,0.33,1930,1930 - 1939
116,164,192.0,0.08,1930,1930 - 1939
117,197,218.0,0.05,1930,1930 - 1939
118,192,206.0,0.04,1930,1930 - 1939
119,155,147.0,-0.03,1930,1930 - 1939
120,268,201.0,-0.14,1930,1930 - 1939
121,290,212.0,-0.16,1930,1930 - 1939
122,84,96.0,0.07,1930,1930 - 1939
123,21,20.0,-0.02,1930,1930 - 1939
124,43,51.0,0.09,1930,1930 - 1939
125,37,45.0,0.1,1930,1930 - 1939
126,159,173.0,0.04,1930,1930 - 1939
127,87,103.0,0.08,1930,1930 - 1939
128,64,67.0,0.02,1930,1930 - 1939
129,331,304.0,-0.04,1930,1930 - 1939
130,63,65.0,0.02,1930,1930 - 1939
131,179,84.0,-0.36,1930,1930 - 1939
132,35,40.0,0.07,1930,1930 - 1939
133,22,28.0,0.12,1930,1930 - 1939
134,35,32.0,-0.04,1930,1930 - 1939
135,120,135.0,0.06,1930,1930 - 1939
136,91,113.0,0.11,1930,1930 - 1939
137,96,117.0,0.1,1930,1930 - 1939
138,81,43.0,-0.31,1930,1930 - 1939
139,260,255.0,-0.01,1930,1930 - 1939
140,584,332.0,-0.28,1930,1930 - 1939
141,73,165.0,0.39,1930,1930 - 1939
142,120,132.0,0.05,1930,1930 - 1939
143,1,1.0,0.0,1930,1930 - 1939
144,10,7.0,-0.18,1930,1930 - 1939
145,61,55.0,-0.05,1930,1930 - 1939
146,97,51.0,-0.31,1930,1930 - 1939
147,159,192.0,0.09,1930,1930 - 1939
148,382,360.0,-0.03,1930,1930 - 1939
150,175,173.0,-0.01,1930,1930 - 1939
151,16,20.0,0.11,1930,1930 - 1939
152,124,125.0,0.0,1930,1930 - 1939
153,88,187.0,0.36,1930,1930 - 1939
154,152,130.0,-0.08,1930,1930 - 1939
155,74,78.0,0.03,1930,1930 - 1939
156,60,65.0,0.04,1930,1930 - 1939
158,4,4.0,0.0,1930,1930 - 1939
