STATENAM,Percent-White,Percent-Black,Percent-Free,Percent-Slave
New Hampshire,99.4,0.6,0.4,0.1
Vermont,99.7,0.3,0.3,0
Massachusetts,98.7,1.26,1.26,0
Rhode Island,93.7,6.3,5,1.4
Connecticut,97.7,2.3,1.2,1.2
New York,92.4,7.6,1.4,6.3
New Jersey,92.3,7.7,1.5,6.2
Pennsylvania,97.6,2.4,1.5,0.9
Delaware,78.4,21.6,6.6,15
Maryland,65.3,34.7,2.5,32.2
Virginia,52.47,39.88,1.6,38.25
West Virginia,90.5,9.5,1.1,8.4
North Carolina,73.2,26.8,1.3,25.5
South Carolina,56.3,43.7,0.7,43
Georgia,64.1,35.9,0.5,35.5
Southwest Territory,89.4,10.6,1,9.6
Northwest Territory,99.2,0.8,0.7,0.1
