STATENAM,Percent-White,Percent-Black,Percent-AIEA,Percent-API,Percent-Other,Percent-Hispanic
Maine,98.7,0.3,0.4,0.3,0.4,0.4
New Hampshire,98.9,0.4,0.1,0.3,0.2,0.6
Vermont,99.1,0.2,0.2,0.3,0.2,0.6
Massachusetts,93.5,3.9,0.1,0.9,1.7,2.5
Rhode Island,94.7,2.9,0.3,0.6,1.5,2.1
Connecticut,90.1,7,0.1,0.6,2.2,4
New York,79.5,13.7,0.2,1.8,4.8,9.5
New Jersey,83.2,12.6,0.1,1.4,2.7,6.7
Pennsylvania,89.8,8.8,0.1,0.5,0.8,1.3
Ohio,88.9,10,0.1,0.4,0.6,1.1
Indiana,91.2,7.6,0.1,0.4,0.8,1.6
Illinois,80.8,14.7,0.1,1.4,3,5.6
Michigan,85,12.9,0.4,0.6,1,1.8
Wisconsin,94.4,3.9,0.6,0.4,0.7,1.3
Minnesota,96.6,1.3,0.9,0.7,0.6,0.8
Iowa,97.4,1.4,0.2,0.4,0.5,0.9
Missouri,88.4,10.5,0.3,0.5,0.4,1.1
North Dakota,95.8,0.4,3.1,0.3,0.4,0.6
South Dakota,92.6,0.3,6.5,0.3,0.3,0.6
Nebraska,94.9,3.1,0.6,0.4,0.9,1.8
Kansas,91.7,5.3,0.7,0.6,1.6,2.7
Delaware,82.1,16.1,0.2,0.7,0.9,1.6
Maryland,74.9,22.7,0.2,1.5,0.7,1.5
District of Columbia,26.9,70.3,0.2,1,1.6,2.8
Virginia,79.1,18.9,0.2,1.2,0.6,1.5
West Virginia,96.2,3.3,0.1,0.3,0.2,0.7
North Carolina,75.8,22.4,1.1,0.4,0.3,1
South Carolina,68.8,30.4,0.2,0.4,0.3,1.1
Georgia,72.3,26.8,0.1,0.4,0.3,1.1
Florida,84,13.8,0.2,0.6,1.5,8.8
Kentucky,92.3,7.1,0.1,0.3,0.2,0.7
Tennessee,83.5,15.8,0.1,0.3,0.2,0.7
Alabama,73.8,25.6,0.2,0.2,0.2,0.9
Mississippi,64.1,35.2,0.2,0.3,0.2,1
Arkansas,82.7,16.3,0.4,0.3,0.3,0.8
Louisiana,69.2,29.4,0.3,0.6,0.5,2.4
Oklahoma,85.9,6.8,5.6,0.6,1.2,1.9
Texas,78.7,12,0.3,0.8,8.2,21
Montana,94.1,0.2,4.7,0.3,0.6,1.3
Idaho,95.5,0.3,1.1,0.6,2.4,3.9
Wyoming,95.1,0.7,1.5,0.4,2.3,5.2
Colorado,89,3.5,0.6,1,5.8,11.8
New Mexico,75,1.8,8.1,0.5,14.5,36.6
Arizona,82.4,2.8,5.6,0.8,8.4,16.2
Utah,94.6,0.6,1.3,1,2.4,4.1
Nevada,87.5,6.4,1.7,1.8,2.7,6.7
Washington,91.5,2.6,1.5,2.5,2,2.9
Oregon,94.6,1.4,1,1.3,1.6,2.5
California,76.2,7.7,0.9,5.3,10,19.2
Alaska,77.1,3.4,16,2,1.6,2.4
Hawaii,33,1.8,0.3,60.5,4.4,7.4
