STATENAM,Percent-White,Percent-Black,Percent-AIAN,Percent-API,Percent-Other,Percent-Hispanic
Alabama,73.6,25.3,0.4,0.5,0.1,0.6
Alaska,75.5,4.1,15.6,3.6,1.2,3.2
Arizona,80.8,3,5.6,1.5,9.1,18.8
Arkansas,82.7,15.9,0.5,0.5,0.3,0.8
California,69,7.4,0.8,9.6,13.2,25.8
Colorado,88.2,4,0.8,1.8,5.1,12.9
Connecticut,87,8.3,0.2,1.5,2.9,6.5
Delaware,80.3,16.9,0.3,1.4,1.1,2.4
District of Columbia,29.6,65.8,0.2,1.8,2.5,5.4
Florida,83.1,13.6,0.3,1.2,1.8,12.2
Georgia,71,27,0.2,1.2,0.7,1.7
Hawaii,33.4,2.5,0.5,61.8,1.9,7.3
Idaho,94.4,0.3,1.4,0.9,3,5.3
Illinois,78.3,14.8,0.2,2.5,4.2,7.9
Indiana,90.6,7.8,0.2,0.7,0.7,1.8
Iowa,96.6,1.7,0.3,0.9,0.5,1.2
Kansas,90.1,5.8,0.9,1.3,2,3.8
Kentucky,92,7.1,0.2,0.5,0.2,0.6
Louisiana,67.3,30.8,0.4,1,0.5,2.2
Maine,98.4,0.4,0.5,0.5,0.1,0.6
Maryland,71,24.9,0.3,2.9,0.9,2.6
Massachusetts,89.8,5,0.2,2.4,2.6,4.8
Michigan,83.4,13.9,0.6,1.1,0.9,2.2
Minnesota,94.4,2.2,1.1,1.8,0.5,1.2
Mississippi,63.5,35.6,0.3,0.5,0.1,0.6
Missouri,87.7,10.7,0.4,0.8,0.4,1.2
Montana,92.7,0.3,6,0.5,0.5,1.5
Nebraska,93.8,3.6,0.8,0.8,1,2.3
Nevada,84.3,6.6,1.6,3.2,4.4,10.4
New Hampshire,98,0.6,0.2,0.8,0.3,1
New Jersey,79.3,13.4,0.2,3.5,3.6,9.6
New Mexico,75.6,2,8.9,0.9,12.6,38.2
New York,74.4,15.9,0.3,3.9,5.5,12.3
North Carolina,75.6,22,1.2,0.8,0.5,1.2
North Dakota,94.6,0.6,4.1,0.5,0.3,0.7
Ohio,87.8,10.6,0.2,0.8,0.5,1.3
Oklahoma,82.1,7.4,8,1.1,1.3,2.7
Oregon,92.8,1.6,1.4,2.4,1.8,4
Pennsylvania,88.5,9.2,0.1,1.2,1,2
Rhode Island,91.4,3.9,0.4,1.8,2.5,4.6
South Carolina,69,29.8,0.2,0.6,0.3,0.9
South Dakota,91.6,0.5,7.3,0.4,0.2,0.8
Tennessee,83,16,0.2,0.7,0.2,0.7
Texas,75.2,11.9,0.4,1.9,10.6,25.5
Utah,93.8,0.7,1.4,1.9,2.2,4.9
Vermont,98.6,0.3,0.3,0.6,0.1,0.7
Virginia,77.4,18.8,0.2,2.6,0.9,2.6
Washington,88.5,3.1,1.7,4.3,2.4,4.4
West Virginia,96.2,3.1,0.1,0.4,0.1,0.5
Wisconsin,92.2,5,0.8,1.1,0.9,1.9
Wyoming,94.2,0.8,2.1,0.6,2.3,5.7
